HRJobContract-id,HRJobContract-contact_id,HRJobDetails-position,HRJobDetails-title,HRJobDetails-funding_notes,HRJobDetails-contract_type,HRJobDetails-period_start_date,HRJobDetails-period_end_date,HRJobDetails-end_reason,HRJobDetails-notice_amount,HRJobDetails-notice_unit,HRJobDetails-notice_amount_employee,HRJobDetails-notice_unit_employee,HRJobDetails-location,HRJobHealth-provider,HRJobHealth-plan_type,HRJobHealth-description,HRJobHealth-dependents,HRJobHealth-provider_life_insurance,HRJobHealth-plan_type_life_insurance,HRJobHealth-description_life_insurance,HRJobHealth-dependents_life_insurance,HRJobHour-location_standard_hours,HRJobHour-hours_type,HRJobHour-hours_amount,HRJobHour-hours_unit,HRJobHour-hours_fte,HRJobHour-fte_num,HRJobHour-fte_denom,HRJobPay-pay_scale,HRJobPay-is_paid,HRJobPay-pay_amount,HRJobPay-pay_unit,HRJobPay-pay_currency,HRJobPay-pay_annualized_est,HRJobPay-pay_is_auto_est,HRJobPay-annual_benefits,HRJobPay-pay_cycle,HRJobPay-pay_per_cycle_gross,HRJobPay-pay_per_cycle_net,HRJobPension-is_enrolled,HRJobPension-ee_contrib_pct,HRJobPension-er_contrib_pct,HRJobPension-pension_type,HRJobLeave-leave_amount
1,235,Area Manager - Clapham,Area Manager - Clapham,Funded from corpus,Employee_Permanent,2008-07-27,2017-10-31,Retirement,3,Month,3,Month,Clapham,236,Individual,"GP helpline, NHS cashback & up to 75% no claims discount",No,237,Individual,Maximum term 40 years or 75 years of age,No,Clapham,Full_Time,38,Week,1,1,1,E3,Paid,61200,Year,GBP (£),61200,0,"[{""name"":""1"",""type"":""1"",""amount_pct"":"""",""amount_abs"":""600.00""}]",Monthly,5100,5150,1,5,5,Friends Life,"Sick:0,Vacation:25,Maternity:0,Paternity:0,TOIL:0,Other:0,Compassionate_Leave:0,Parental_Leave:0"
3,239,Subject Head - Computer Basics,Subject Head - Computer Basics,Donor funded position,Employee_Permanent,2003-10-19,2019-06-30,Retirement,3,Month,3,Month,Hammersmith,236,Individual,"GP helpline, NHS cashback & up to 75% no claims discount",No,237,Individual,Maximum term 40 years or 75 years of age,No,Hammersmith,Full_Time,,Week,0,1,1,E4,Paid,58500,Year,GBP (£),58500,1,"[{""name"":""1"",""type"":""1"",""amount_pct"":"""",""amount_abs"":""600.00""}]",Monthly,4875,4925,1,5,5,Friends Life,"Sick:0,Vacation:28,Maternity:0,Paternity:0,TOIL:0,Other:0,Compassionate_Leave:0,Parental_Leave:0"
4,240,Corporate Partnerships Assistant,Corporate Partnerships Assistant,Donor funded position,Employee_Permanent,2008-12-27,,,3,Month,3,Month,Victoria,236,Individual,"GP helpline, NHS cashback & up to 75% no claims discount",No,237,Individual,Maximum term 40 years or 75 years of age,No,Victoria,Full_Time,,Week,0,1,1,E5,Paid,38900,Year,GBP (£),38900,1,,Monthly,3241.67,3241.67,1,5,5,Friends Life,"Sick:0,Vacation:28,Maternity:0,Paternity:0,TOIL:0,Other:0,Compassionate_Leave:0,Parental_Leave:0"
5,241,Subject Head - Computer Basics,Subject Head - Computer Basics,Donor funded position,Employee_Permanent,2012-10-19,,,3,Month,3,Month,Clapham,236,Family,"GP helpline, NHS cashback & up to 75% no claims discount",Yes,237,Family,Maximum term 40 years or 75 years of age,Yes,Clapham,Full_Time,,Week,0,1,1,E4,Paid,58200,Year,GBP (£),58200,1,"[{""name"":""1"",""type"":""1"",""amount_pct"":"""",""amount_abs"":""600.00""}]",Monthly,4850,4900,1,5,5,Friends Life,"Sick:0,Vacation:28,Maternity:0,Paternity:0,TOIL:0,Other:0,Compassionate_Leave:0,Parental_Leave:0"
6,242,Area Manager - Hammersmith,Area Manager - Hammersmith,Funded from corpus,Employee_Permanent,2005-10-03,,,3,Month,3,Month,Hammersmith,236,Family,"GP helpline, NHS cashback & up to 75% no claims discount",Yes,237,Family,Maximum term 40 years or 75 years of age,Yes,Hammersmith,Full_Time,,Week,0,1,1,E3,Paid,61000,Year,GBP (£),61000,1,"[{""name"":""1"",""type"":""1"",""amount_pct"":"""",""amount_abs"":""600.00""}]",Monthly,5083.33,5133.33,1,5,5,Friends Life,"Sick:0,Vacation:28,Maternity:0,Paternity:0,TOIL:0,Other:0,Compassionate_Leave:0,Parental_Leave:0"
7,243,Manager - Finance,Manager - Finance,Funded from corpus,Employee_Permanent,2001-07-24,,,3,Month,3,Month,Victoria,236,Individual,"GP helpline, NHS cashback & up to 75% no claims discount",No,237,Individual,Maximum term 40 years or 75 years of age,No,Victoria,Full_Time,,Week,0,1,1,E3,Paid,67500,Year,GBP (£),67500,1,"[{""name"":""1"",""type"":""1"",""amount_pct"":"""",""amount_abs"":""600.00""}]",Monthly,5625,5675,1,5,5,Friends Life,"Sick:0,Vacation:28,Maternity:0,Paternity:0,TOIL:0,Other:0,Compassionate_Leave:0,Parental_Leave:0"
8,244,Subject Head - Computer Basics,Subject Head - Computer Basics,Donor funded position,Employee_Permanent,2013-02-06,,,3,Month,3,Month,Stratford,236,Individual,"GP helpline, NHS cashback & up to 75% no claims discount",No,237,Individual,Maximum term 40 years or 75 years of age,No,Stratford,Part_Time,20,Week,0.53,10,19,E4,Paid,30474,Year,GBP (£),30474,1,"[{""name"":""1"",""type"":""1"",""amount_pct"":"""",""amount_abs"":""600.00""}]",Monthly,2539.5,2589.5,1,5,5,Friends Life,"Sick:0,Vacation:28,Maternity:0,Paternity:0,TOIL:0,Other:0,Compassionate_Leave:0,Parental_Leave:0"
9,245,Head of Operations,Head of Operations,Funded from corpus,Fixed Term,2011-07-15,2020-03-15,Planned,3,Month,3,Month,Victoria,236,Individual,"GP helpline, NHS cashback & up to 75% no claims discount",No,237,Individual,Maximum term 40 years or 75 years of age,No,Victoria,Part_Time,32,Week,0.8,4,5,E2,Paid,57600,Year,GBP (£),57600,0,[],Monthly,4800,4800,1,5,5,Friends Life,"Sick:0,Vacation:28,Maternity:0,Paternity:0,TOIL:0,Other:0,Compassionate_Leave:0,Parental_Leave:0"
10,246,Office Assistant,Office Assistant,Donor funded position,Employee_Permanent,2004-03-12,2016-12-12,Voluntary,3,Month,3,Month,Clapham,236,Individual,"GP helpline, NHS cashback & up to 75% no claims discount",No,237,Individual,Maximum term 40 years or 75 years of age,No,Clapham,Part_Time,33,Week,0.87,33,38,E5,Paid,27616,Year,GBP (£),27616,1,,Monthly,2301.33,2301.33,1,5,5,Friends Life,"Sick:0,Vacation:28,Maternity:0,Paternity:0,TOIL:0,Other:0,Compassionate_Leave:0,Parental_Leave:0"
11,247,Direct Marketing Assistant,Direct Marketing Assistant,Donor funded position,Employee_Permanent,2002-05-14,,,3,Month,3,Month,Victoria,236,Family,"GP helpline, NHS cashback & up to 75% no claims discount",Yes,237,Family,Maximum term 40 years or 75 years of age,Yes,Victoria,Part_Time,36,Week,0.9,9,10,E5,Paid,33660,Year,GBP (£),33660,1,,Monthly,2805,2805,1,5,5,Friends Life,"Sick:0,Vacation:28,Maternity:0,Paternity:0,TOIL:0,Other:0,Compassionate_Leave:0,Parental_Leave:0"
